,species,kind,spot,cpgi1,cpgi2,prdm9,crossover,cpgi1_cond,cpgi2_cond,prdm9_cond,crossover_cond
799,corn,458,hotspots,0.038705396638159834,0.1021671826625387,0.0988500663423264,0.0013177273079606232,0.036840710310098064,0.10015898251192369,0.09484795966598393,0.0014856388246946186
800,corn,459,coldspots,0.044971984665290475,0.12118531623175587,0.1009140498304585,0.0009301604526780869,0.042768273716951785,0.11686965535112724,0.09974335044330378,0.0008504434455108735
801,corn,459,hotspots,0.033470952521380125,0.09774436090225563,0.10246203744655757,0.0009301604526780869,0.03604558706599523,0.0996290408055114,0.09658106191901686,0.0009904258831297458
802,corn,46,coldspots,0.04902683574166913,0.1167624944714728,0.10150375939849623,0.0013177273079606232,0.048081907724209436,0.11686965535112724,0.10312645823611759,0.001336411128659944
803,corn,46,hotspots,0.03723090533765851,0.09752321981424149,0.10143004570249152,0.0009301604526780869,0.03445534057778956,0.0951245363010069,0.1006774854261856,0.0014856388246946186
804,corn,460,coldspots,0.04165437923916249,0.10953855226301047,0.10224089635854341,0.0010851871947911015,0.04341627786417833,0.11129826379891164,0.1034764349043397,0.0010934272870854087
805,corn,460,hotspots,0.03700973164258331,0.10069290874244434,0.10201975527052927,0.0009301604526780869,0.03525046382189239,0.10068892421833599,0.10193792342839136,0.0004952129415648729
806,corn,461,coldspots,0.044824535535240344,0.11366651923927466,0.10039805395842548,0.000620106968452058,0.04419388284085018,0.11894273127753303,0.09951003266448903,0.0006074596039363382
807,corn,461,hotspots,0.03383957534650545,0.09427981719003391,0.09560666371811882,0.0011627005658476088,0.032335011926848664,0.09247482776894542,0.08886087915550654,0.00115549686365137
808,corn,462,coldspots,0.04475081097021528,0.1163202122954445,0.09988205808639246,0.0007751337105650725,0.04315707620528771,0.11816532780513087,0.10172655156322911,0.0008504434455108735
809,corn,462,hotspots,0.036493659687407844,0.09700722394220847,0.10002948547840189,0.0010851871947911015,0.037900874635568516,0.0990990990990991,0.0968961714195683,0.001650709805216243
810,corn,463,coldspots,0.043571217929814214,0.11403508771929824,0.10209346896653398,0.001240213936904116,0.0428978745463971,0.11972013474993522,0.10289314045730284,0.0015793949702344794
