,distance,mean,nature,kind,low_ci,high_ci
18,9000,0.004589800117222867,total,KmerZFs_6_0,0.0042508372339116526,0.004914853619789052
19,9500,0.004600259281120857,total,KmerZFs_6_0,0.004252666118151459,0.004969003942206789
0,0,0.005711921852379199,total,KmerZFs_6_1,0.005428705445931002,0.0060412341495735804
1,500,0.0052968036714068165,total,KmerZFs_6_1,0.005035944051626322,0.005646442586814012
2,1000,0.004938285088945045,total,KmerZFs_6_1,0.004687784814930253,0.005263837079605493
3,1500,0.004727762623456684,total,KmerZFs_6_1,0.004493721147665507,0.005026672442900097
4,2000,0.004715296415419311,total,KmerZFs_6_1,0.004447477848776311,0.005036295073078846
5,2500,0.004695839322182912,total,KmerZFs_6_1,0.004434687953990603,0.005053586136881256
6,3000,0.004631326794835695,total,KmerZFs_6_1,0.0043907575631386,0.004967958998878302
7,3500,0.004688794842800879,total,KmerZFs_6_1,0.0043871590463428495,0.005038980522808559
8,4000,0.004623058625469364,total,KmerZFs_6_1,0.004323738844724112,0.0049034058830335165
9,4500,0.004583679745911307,total,KmerZFs_6_1,0.00430295389849126,0.00486624724774987
10,5000,0.004500889003751064,total,KmerZFs_6_1,0.00425740091235045,0.004811886107888078
11,5500,0.004589228736933722,total,KmerZFs_6_1,0.00434022304989551,0.0048863600811013
12,6000,0.004726815479416693,total,KmerZFs_6_1,0.004444636706615677,0.005053925059677845
13,6500,0.004774005592539029,total,KmerZFs_6_1,0.004467911722541282,0.005111718303582193
14,7000,0.004835218400719133,total,KmerZFs_6_1,0.004523964226317681,0.005309468462972346
15,7500,0.004657234921752418,total,KmerZFs_6_1,0.004362566935949122,0.004981079632381577
16,8000,0.0046345302474802876,total,KmerZFs_6_1,0.0043624126314675505,0.004943787098095939
17,8500,0.00464212315956031,total,KmerZFs_6_1,0.004353760040399276,0.004996749018220615
18,9000,0.004625541744541334,total,KmerZFs_6_1,0.0043429181520342796,0.004954096938849692
19,9500,0.004727913713305927,total,KmerZFs_6_1,0.004402093144003571,0.0050934827120565785
0,0,0.005770489434521511,total,KmerZFs_7_0,0.005310524376464937,0.006309853200397459
1,500,0.005120749277269268,total,KmerZFs_7_0,0.0048135175944042045,0.005587715944787951
2,1000,0.005019206656217902,total,KmerZFs_7_0,0.004692621638043974,0.0055702841758472664
3,1500,0.004924388147801732,total,KmerZFs_7_0,0.00456028733487093,0.005373059986921434
4,2000,0.004761820348375166,total,KmerZFs_7_0,0.00445109310737071,0.00524626398407701
5,2500,0.004627990341799872,total,KmerZFs_7_0,0.004342994929677188,0.005105706278453995
6,3000,0.004728873629465668,total,KmerZFs_7_0,0.004431292576139219,0.005224790364592301
7,3500,0.0047933042401281985,total,KmerZFs_7_0,0.004464662609521032,0.005260368898239094
8,4000,0.004800309556053442,total,KmerZFs_7_0,0.004429520902472151,0.005314880942893453
9,4500,0.004604818154427756,total,KmerZFs_7_0,0.004330442466284341,0.005032025676474599
10,5000,0.004511927034063915,total,KmerZFs_7_0,0.004255771957947143,0.004903322881239973
11,5500,0.004667194054891511,total,KmerZFs_7_0,0.004397198310485193,0.005119365559595919
12,6000,0.004712149964647288,total,KmerZFs_7_0,0.004406909784225205,0.005178584675773481
13,6500,0.004713507260276172,total,KmerZFs_7_0,0.004428605807203936,0.0051735634979878774
14,7000,0.004737992407393409,total,KmerZFs_7_0,0.004404492446264426,0.005258903326239612
15,7500,0.004623958643967626,total,KmerZFs_7_0,0.004341256746255463,0.0050211895864320415
16,8000,0.0044821796871321,total,KmerZFs_7_0,0.004191642267322462,0.004899411341237872
17,8500,0.0044867604859596955,total,KmerZFs_7_0,0.0042104307585158355,0.004855034497493248
18,9000,0.0045201428708026735,total,KmerZFs_7_0,0.004206104498791882,0.004915370125041817
19,9500,0.004615629480092569,total,KmerZFs_7_0,0.00429617882120766,0.005058179755421592
0,0,0.005525488855962257,total,KmerZFs_7_1,0.005123735358028901,0.005955021374686003
1,500,0.005105147561217532,total,KmerZFs_7_1,0.004783650350371878,0.005434958880854259
2,1000,0.004930503415662058,total,KmerZFs_7_1,0.004620200004440051,0.005241168656772014
3,1500,0.004742247046416979,total,KmerZFs_7_1,0.004471119675719838,0.0050343228753370935
