,distance,mean,median,low_ci,high_ci,kind,nbins
122,500,0.004989963251691203,0.0013646,0.0048547967930945846,0.0051611494955351575,KmerZFs_6_0,100947
123,750,0.004853658708150688,0.0013711,0.004728505609293195,0.00499540376152049,KmerZFs_6_0,99304
124,1000,0.004729837990850634,0.0013596,0.004591717691512185,0.004892753324244349,KmerZFs_6_0,98215
125,1250,0.004664769189677586,0.0013604,0.004536042220867544,0.00480214624681991,KmerZFs_6_0,96994
126,1500,0.004625874166677777,0.00135245355,0.0044888218974374955,0.0047685092784364,KmerZFs_6_0,95900
127,1750,0.004564709571709621,0.0013589,0.004400141642330053,0.00471048376809367,KmerZFs_6_0,94487
128,2000,0.004571558030851309,0.0013569,0.004416172142726184,0.0047117373192706305,KmerZFs_6_0,92888
129,2250,0.004522971633721626,0.0013632,0.00438803001431024,0.004646991833806405,KmerZFs_6_0,90951
130,2500,0.0044742481331181945,0.0013535,0.0043463476186062135,0.004606472893805548,KmerZFs_6_0,89924
131,2750,0.004371233743976186,0.0013604,0.004268545589923943,0.004491515094680333,KmerZFs_6_0,87813
132,3000,0.004434920278121614,0.00135695,0.004286013429979005,0.004584076906655354,KmerZFs_6_0,86980
133,3250,0.004427950924598571,0.0013604,0.004314120812808977,0.004558771045645549,KmerZFs_6_0,85502
134,3500,0.004480650082130121,0.0013552,0.004349626929877323,0.0046030930267813835,KmerZFs_6_0,84763
135,3750,0.00442728018443008,0.0013592,0.004267616234391722,0.004560897018150287,KmerZFs_6_0,83394
136,4000,0.004496837581386152,0.0013546,0.004333494660112936,0.004644230336864626,KmerZFs_6_0,82551
137,4250,0.004543648707570236,0.0013604,0.004410911354871781,0.004701887219936046,KmerZFs_6_0,81405
138,4500,0.004600413160092912,0.0013535,0.004424396288414885,0.004773909994299065,KmerZFs_6_0,80667
139,4750,0.004578484297562329,0.0013584,0.0044234684954418835,0.004766887200058963,KmerZFs_6_0,79338
140,5000,0.004518691528627574,0.0013546,0.004355021505423469,0.004692987655890924,KmerZFs_6_0,78527
141,5250,0.004549577186705204,0.0013576999999999999,0.004383423199621081,0.004715444903356248,KmerZFs_6_0,77274
142,5500,0.004506537669023032,0.0013564,0.004341456073225846,0.004694184208054234,KmerZFs_6_0,76496
143,5750,0.00440067770793729,0.0013604,0.004230883997040098,0.00457392827447208,KmerZFs_6_0,75347
144,6000,0.00458191427269781,0.0013645,0.004399181935611685,0.004802755834808151,KmerZFs_6_0,74569
145,6250,0.004632521262036045,0.0013615,0.0044574595931034,0.004852183661119437,KmerZFs_6_0,73518
146,6500,0.004656450661407791,0.0013645,0.00447964872282768,0.004855124015138624,KmerZFs_6_0,72859
147,6750,0.004572394788446113,0.0013753,0.004420449724258925,0.004758640586694535,KmerZFs_6_0,71859
148,7000,0.004648368288302453,0.0013817500000000002,0.004465299040628411,0.004830757612976274,KmerZFs_6_0,71088
149,7250,0.004677255316373281,0.0013785,0.004469608597269685,0.004966079369891414,KmerZFs_6_0,70049
150,7500,0.004736468871624998,0.001377904,0.004541857534778444,0.005014699175135139,KmerZFs_6_0,69405
151,7750,0.004672402555140552,0.0013818,0.004506944380786074,0.004827768560333665,KmerZFs_6_0,68428
152,8000,0.004699853011707587,0.00138715,0.004529214337472068,0.00485742383043214,KmerZFs_6_0,67816
153,8250,0.0046457151070075885,0.0013879,0.004475209214273821,0.004807856460365052,KmerZFs_6_0,66793
154,8500,0.004566120253304378,0.0013995,0.00439033158841268,0.004735144695687515,KmerZFs_6_0,66089
155,8750,0.004598238482757897,0.0013948,0.004463389655049769,0.004783465917273681,KmerZFs_6_0,65022
156,9000,0.004565209923009625,0.0014,0.0044305494109927145,0.004702809030761856,KmerZFs_6_0,64518
157,9250,0.004614773124042585,0.0014029,0.004455095242499635,0.004796006031374506,KmerZFs_6_0,63529
158,9500,0.004572032475632094,0.0014122,0.004420060086234683,0.004739142911594738,KmerZFs_6_0,62929
159,9750,0.0046288997945456,0.0014152505,0.004447712671192767,0.004822737543835232,KmerZFs_6_0,62020
160,0,0.00588338163482942,0.0016913380000000001,0.005774505455412826,0.005981883346190361,KmerZFs_6_1,107574
161,250,0.005492350948515054,0.0015785,0.005359636107381484,0.005605736802437096,KmerZFs_6_1,84003
162,500,0.005424763125250696,0.0015679,0.00529510269736393,0.005549944855048271,KmerZFs_6_1,82913
163,750,0.005167797078549842,0.0015389,0.005058289233228824,0.005261772975569721,KmerZFs_6_1,82240
164,1000,0.004980692998629852,0.0015231,0.004879677462926521,0.005117537031514753,KmerZFs_6_1,81327
165,1250,0.004895468104824171,0.0014937,0.004753312357271251,0.005028592106242031,KmerZFs_6_1,80550
166,1500,0.004738152341712781,0.00148885,0.0046369490174665755,0.004847263164576054,KmerZFs_6_1,79650
167,1750,0.004717251896581064,0.0014615,0.00461311882757869,0.0048625667178933425,KmerZFs_6_1,78733
168,2000,0.004691004489366952,0.0014567,0.004587598101864065,0.00480180656558701,KmerZFs_6_1,77872
169,2250,0.004739806144177401,0.0014426,0.004624935210785541,0.004854983728419594,KmerZFs_6_1,77180
170,2500,0.0047316945386211475,0.00144615,0.004625796499241116,0.0048517800646473135,KmerZFs_6_1,76320
171,2750,0.0046594084288931635,0.00144152,0.004568937022683306,0.004772784233295198,KmerZFs_6_1,75114
172,3000,0.004666122029339682,0.0014516,0.004560167146013568,0.004765721801286773,KmerZFs_6_1,74361
173,3250,0.004596187067095706,0.0014344,0.004500117610477202,0.004693903357587458,KmerZFs_6_1,73632
174,3500,0.004656919593355694,0.0014375,0.00453772304473095,0.0048033390383317165,KmerZFs_6_1,72904
175,3750,0.004720989370246492,0.0014225,0.004563723155840904,0.004875014329531977,KmerZFs_6_1,72181
176,4000,0.004619510172792929,0.0014326,0.004498541530575814,0.004739819527617881,KmerZFs_6_1,71449
177,4250,0.004626647767377922,0.0014263,0.004486801843309229,0.004742754278754756,KmerZFs_6_1,70639
178,4500,0.004637862127712174,0.0014326,0.004514644643674106,0.00475499077276691,KmerZFs_6_1,70052
179,4750,0.004528883317454548,0.001425,0.0044099671160396795,0.004633780777452919,KmerZFs_6_1,69267
180,5000,0.004557870925725011,0.0014353500000000002,0.004442454594439617,0.004666393054962243,KmerZFs_6_1,68610
181,5250,0.004443286645355983,0.0014257,0.004333882829578987,0.004563587748059676,KmerZFs_6_1,67871
182,5500,0.00458744816799725,0.0014288,0.004490629435662302,0.004698999581567476,KmerZFs_6_1,67267
183,5750,0.004591029355272363,0.0014268,0.004472129580429699,0.004731998552871226,KmerZFs_6_1,66518
184,6000,0.004698616171543199,0.0014364,0.004573717352574278,0.004823724908421728,KmerZFs_6_1,65911
185,6250,0.004755295216189237,0.0014324,0.004604928402931458,0.0049138441120824185,KmerZFs_6_1,65262
186,6500,0.0047203702697712294,0.0014312,0.004578757461877246,0.004865518319416074,KmerZFs_6_1,64501
187,6750,0.004828217485571168,0.0014306,0.004665457060472035,0.005011102129121416,KmerZFs_6_1,63815
188,7000,0.004873295687292404,0.0014313,0.004696510659684257,0.005053388525332507,KmerZFs_6_1,62930
189,7250,0.004796842915956622,0.0014248,0.004621671653151125,0.00495805814128344,KmerZFs_6_1,62441
190,7500,0.00465086028432024,0.0014287,0.004485262566570794,0.004845524511287584,KmerZFs_6_1,61941
191,7750,0.004663664888811865,0.0014236,0.004502544955715663,0.004793405880876541,KmerZFs_6_1,61408
192,8000,0.004566306824409114,0.00142835,0.004410737802487649,0.004735072991836963,KmerZFs_6_1,60790
193,8250,0.0047033959945951215,0.0014239,0.004518853392802732,0.004933829775467161,KmerZFs_6_1,60223
194,8500,0.004578749305172681,0.0014225,0.004455485099870937,0.004742727164196376,KmerZFs_6_1,59546
195,8750,0.004706137740278983,0.0014171,0.0045676460467685785,0.004912929414046909,KmerZFs_6_1,58950
196,9000,0.004599840021338069,0.0014197,0.0044602395625226365,0.004798365441874822,KmerZFs_6_1,58241
